bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,url,watch_model,water_resistance
,42.3,grey ion-plated stainless steel,K1,black with applied markers,men's,In Stock,3600625,Swiss quartz movement,No,$595.00,black silicone,https://www.movado.com/us/en/shop-watches/movado-bold-fusion-3600625.html,Movado BOLD Fusion,3 ATM
grey ion-plated stainless steel mesh bracelet,42,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600635,Swiss quartz chronograph movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/movado-bold-thin-3600635.html,Movado BOLD Thin,3 ATM
rose gold ion-plated stainless steel mesh bracelet,36,rose gold ion-plated stainless steel,sapphire,white mother-of-pearl with printed index,Women's,In Stock,3650103,Swiss Quartz Multifunction Movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650103.html,Movado Heritage Series,3 ATM
,28,stainless steel rose gold PVD,sapphire,black Museum with concave dot,Women's,In Stock,0607206,Swiss quartz movement,No,$595.00,black leather,https://www.movado.com/us/en/shop-watches/museum-classic-0607206.html,Museum Classic,30 meters
,40,blue ion-plated stainless steel,K1,blue Museum with flat dot,men's,In Stock,3600691,Swiss quartz movement,No,$495.00,beige waxed canvas,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600691.html,Movado BOLD Evolution,3 ATM
pale rose gold ion-plated stainless steel link bracelet,34,pale rose gold ion-plated stainless steel,K1,carnation gold Museum with crystal set dot,Women's,In Stock,3600650,Swiss quartz movement,No,$695.00,,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600650.html,Movado BOLD Evolution,3 ATM
stainless steel link bracelet,28,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607051,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/esperanza-0607051.html,Esperanza,30 meters
,28,stainless steel rose gold PVD,sapphire,black Museum with concave dot,women's,In Stock,0607276,Swiss quartz movement,No,$595.00,black calfskin,https://www.movado.com/us/en/shop-watches/museum-classic-0607276.html,Museum Classic,30 meters
,42,grey ion-plated stainless steel,K1,grey with printed index,men's,In Stock,3600681,Swiss quartz chronograph movement,No,$695.00,black leather,https://www.movado.com/us/en/shop-watches/movado-bold-evolution-3600681.html,Movado BOLD Evolution,3 ATM
stainless steel link bracelet,28,stainless steel,sapphire,black Museum with concave dot,women's,In Stock,0607397,Swiss quartz movement,No,$895.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607397.html,Museum Classic,30 meters
carnation PVD-finished stainless steel mesh bracelet,28,carnation PVD-finished stainless steel,sapphire,black mother-of-pearl Museum with concave dot,women's,In Stock,0607426,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607426.html,Museum Classic,30 meters
,39.5,stainless steel rose gold PVD,sapphire,black with printed index,men's,In Stock,0607457,Swiss automatic movement,No,"$1,195.00",black calfskin,https://www.movado.com/us/en/shop-watches/1881-automatic-0607457.html,1881 Automatic,30 meters
stainless steel and yellow light PVD link bracelet,28,stainless steel,sapphire,white mother-of-pearl with printed index,women's,In Stock,0607323,Swiss quartz movement,No,$995.00,,https://www.movado.com/us/en/shop-watches/kora-0607323.html,Kora,30 meters
yellow gold ion-plated stainless steel mesh bracelet,40,yellow gold ion-plated stainless steel,sapphire,blue with printed index,men's,In Stock,3650099,Swiss quartz movement,MOVADO.COM EXCLUSIVE,$795.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650099.html,Movado Heritage Series,3 ATM
stainless steel mesh bracelet,28,stainless steel,sapphire,blue mother-of-pearl Museum with concave dot,Women's,In Stock,0607425,Swiss quartz movement,No,$795.00,,https://www.movado.com/us/en/shop-watches/museum-classic-0607425.html,Museum Classic,30 meters
,35,carnation PVD-finished stainless steel,sapphire,navy Museum with flat dot,women's,In Stock,0607390,Swiss quartz movement,No,$695.00,navy calfskin,https://www.movado.com/us/en/shop-watches/modern-47-0607390.html,Modern 47,30 meters
gunmetal ion-plated stainless steel link bracelet,43,gunmetal ion-plated stainless steel,sapphire,black with printed index,men's,In Stock,3650095,Swiss quartz movement,No,$950.00,,https://www.movado.com/us/en/shop-watches/movado-heritage-series-3650095.html,Movado Heritage Series,5 ATM
,43,grey and black PVD-finished stainless steel,sapphire,black with printed index,men's,In Stock,0607290,Swiss quartz chronograph movement,No,$995.00,cognac calfskin,https://www.movado.com/us/en/shop-watches/museum-sport-0607290.html,Museum Sport,30 meters
stainless steel and rose gold PVD bangle bracelet,27,stainless steel,sapphire,rose gold silver-toned metallic Museum with concave dot,women's,In Stock,0607151,Swiss quartz movement,No,$595.00,,https://www.movado.com/us/en/shop-watches/aleena-0607151.html,Aleena,30 meters
