bracelet,case_diameter,case_material,crystal,dial,gender,in_stock,model_number,movement,online_exclusive,price,strap,watch_model,water_resistance
black ion-plated stainless steel link bracelet,40,black ion-plated stainless steel,K1,black Museum with flat dot,men's,In Stock,3600538,Swiss quartz movement,No,$695.00,,Movado BOLD Evolution,3 ATM
,40,yellow light PVD-finished stainless steel,,beige with printed index,men's,In Stock,0607375,Swiss quartz movement,No,$695.00,taupe color calfskin,Movado Ultra Slim,30 meters
,35,carnation PVD-finished stainless steel,,pink with printed index,women's,In Stock,0607374,Swiss quartz movement,No,$695.00,taupe color calfskin,Movado Ultra Slim,30 meters
,35,stainless steel rose gold PVD,sapphire,silver white with printed index,women's,In Stock,0607373,Swiss quartz movement,No,$695.00,pink calfskin,Movado Ultra Slim,30 meters
stainless steel bangle bracelet,24,stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607357,Swiss quartz movement,No,$495.00,,Amorosa,30 meters
stainless steel and yellow light PVD link bracelet,28,stainless steel,sapphire,white mother-of-pearl with printed index,women's,In Stock,0607323,Swiss quartz movement,No,$995.00,,Kora,30 meters
stainless steel link bracelet,28,stainless steel,sapphire,pink mother-of-pearl Museum with concave dot with diamonds,women's,In Stock,0607322,Swiss quartz movement,No,"$1,295.00",,Kora,30 meters
stainless steel and carnation PVD link bracelet,28,stainless steel and carnation PVD,sapphire,white mother-of-pearl with printed index,women's,In Stock,0607324,Swiss quartz movement,No,$995.00,,Kora,30 meters
carnation PVD-finished stainless steel mesh bracelet,28,carnation PVD-finished stainless steel,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607352,Swiss quartz movement,No,$995.00,,Museum Classic,30 meters
stainless steel mesh bracelet,28,stainless steel with diamonds,sapphire,white mother-of-pearl Museum with concave dot,women's,In Stock,0607306,Swiss quartz movement,No,"$1,795.00",,Museum Classic,30 meters
